Unnamed: 0,Zona,Ciudad,Precios,Direcciones,Dimensiones
323,3,3,"1,595,000","Laguna Encantada, Santa María Colotepec",- 2399 m² tot. - 4 rec. - 4 baños - 2 estac.
324,3,3,"1,950,000","San Isidro Monjas, Santa Cruz Xoxocotlán",- 104 m² tot. - 3 rec. - 2 baños - 1 estac.
325,3,3,"9,300,000","Lomas Del Creston, Oaxaca de Juárez",- 200 m² tot. - 4 rec. - 4 baños - 2 estac.
326,3,3,"22,000,000","San Pablo Etla, Oaxaca",- 2170 m² tot. - 3 rec. - 3 baños - 2 estac.
327,3,3,"10,900,000","Sector F, Santa María Huatulco",- 400 m² tot. - 3 rec. - 3 baños - 1 estac.
328,3,3,"799,500","El Arrocito, Santa María Huatulco",- 530 m² tot. - 3 rec. - 4 baños - 2 estac.
329,3,3,"5,700,000","San Felipe Del Agua 1, Oaxaca de Juárez",- 185 m² tot. - 3 rec. - 3 baños - 3 estac.
330,3,3,"725,000","Laguna Encantada, Santa María Colotepec",- 1680 m² tot. - 4 rec. - 2 baños - 4 estac.
331,3,3,"6,900,000","Pueblo Tlalixtac de Cabrera, Tlalixtac de Cabrera",- 712 m² tot. - 4 rec. - 2 baños - 2 estac.
332,3,3,"1,100,000","San Pablo Etla, Oaxaca",- 2170 m² tot. - 3 rec. - 3 baños - 2 estac.
333,3,3,"8,500,000","Barrio San Antonio, Tlalixtac de Cabrera",- 1117 m² tot. - 2 baños - 3 estac.
334,3,3,"3,100,000","La Soledad, San Lorenzo Cacaotepec",- 170 m² tot. - 3 rec. - 2 baños - 2 estac.
335,3,3,"6,850,000","Pueblo San Andres Huayapam, San Andrés Huayápam",- 1499 m² tot. - 3 rec. - 3 baños - 4 estac.
336,3,3,"11,560,000","Puerto Escondido Centro, San Pedro Mixtepec",- 289 m² tot. - 2 rec. - 3 baños - 2 estac.
337,3,3,"22,500,000","Bahía de Conejo, Santa María Huatulco",- 550 m² tot. - 4 rec. - 2 baños - 2 estac.
338,3,3,"6,900,000","Barrio San Antonio, Tlalixtac de Cabrera",- 721 m² tot. - 4 rec. - 2 baños - 3 estac.
339,3,3,"2,850,000","7 Regiones, Oaxaca de Juárez",- 209 m² tot. - 3 rec. - 2 baños - 1 estac.
340,3,3,"7,400,000","Barrio La Noria, Oaxaca de Juárez",- 253 m² tot. - 9 rec. - 5 baños - 1 estac.
341,3,3,"9,300,000","Lomas Del Creston, Oaxaca de Juárez",- 200 m² tot. - 4 rec. - 4 baños - 2 estac.
342,3,3,"13,500,000","Reforma, Oaxaca de Juárez",- 388 m² tot. - 5 rec. - 4 baños
343,3,3,"2,450,000","Fraccionamiento Jazmines, San Andrés Huayápam",- 170 m² tot. - 3 rec. - 1 baño
